"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"
"AL627309.1"	0	0.00235588575650319	0	0.0138921565898237	0.00929160781981714	0.014319219806984	0	0.017482635113583	0
"AL627309.5"	0	0.267849394661353	0.00041846572054357	0.256015788444219	0	0.181080949459132	0.238479472899029	0.235887489497112	0.0887311446317657
"AL627309.4"	0	0.0132195088170891	0	0.0481778820375027	0	0.0228151731312611	0.0972039115358319	0.0428930143830123	0
"AP006222.2"	0.0385340596444868	0	0	0.00469953300740505	0.142372955819109	0.00662611432012429	0.010575799398237	0	0
"AL669831.2"	0	0.0544784525564885	0	0.0309244225878801	0	0.026036105558606	0.0166833727703906	0.0728279796387834	0
"LINC01409"	0.0563677926293944	0.60069035038078	0.00616221288240587	0.656967870887645	0.0167852826641601	0.34083923791273	0.515132491609615	0.388703465861165	0
"FAM87B"	0	0.0147831493889529	0	0.0127288519799855	0	0.00692589864410834	0.0078276354670163	0.00166380076984062	0
"LINC01128"	0.208232223770773	0.270938203074803	0.164049443769509	0.265557705329832	0.145417094852998	0.106969940574182	0.150957879819478	0.181043359970669	0
"LINC00115"	0.031276669301288	0.0797225876568149	0	0.0450050721352294	0	0.0741985266608706	0.0198835862862417	0.0227243611521854	0
"FAM41C"	0	0.0260578341285298	0.0404356735117445	0.00550887257649711	0.0799107142827832	0.00782737883062109	0.0081786612185878	0.00641982687470427	0
"AL645608.2"	0	0.0332358452499525	0	0.0321973670700758	0	0.0122013103630871	0.00865385780327012	0.00371833159923507	0
"NOC2L"	0.45624355074025	1.12950708356312	0.325350872694636	1.01995331099306	0.250614674560053	0.631962595965111	0.910261682330164	0.800869981226934	0.427494576067859
"KLHL17"	0	0.184714970268309	0.00843218520830662	0.160145118164448	0.0249476100189602	0.0230198661976308	0.271069333063275	0.177961962648563	0
"PLEKHN1"	0.0487778014308709	0.165051719213742	0.00697382827222882	0.211814481702009	0	0.0295647774294472	0.0824207654620229	0.291733939936514	0
"PERM1"	0	0.0139417682384105	0	0.00578451489323357	0	0.00277456621738116	0	0.042041270511376	0
"AL645608.7"	0	0.0142583261770907	0.00952326533721883	0.0279462967068223	0	0	0.0136848027323677	0.00799100736717744	0
"HES4"	0.461583449399903	0.582986038989849	0.355749412791494	0.533436061001261	0.377044500195815	0.100206028584206	0.640593996179474	0.853461718237999	0.33500487829805
"ISG15"	2.53267358275189	0.728332489660617	4.83790905749073	0.458285865739006	2.18361419127958	0.292723100054434	0.542706912670122	0.629342795970848	1.67820328080947
"AGRN"	0.944951568740155	0.771843162970833	0.696721928679567	0.894360413447897	0.471326261045743	0.214346530998922	0.810382137352377	2.00485028583635	1.06125847032882
"RNF223"	0	0.0314269818497723	0.0672124082583243	0.0230533260912475	0.00346241205473381	0.0164224724926518	0.0436173703422197	0.023112675039924	0
"C1orf159"	0.0594645109170898	0.222318750462445	0.0802371074953928	0.275513556357643	0.0685883438379981	0.165437481815377	0.255742532776565	0.267318361587701	0
"AL390719.3"	0	0.0369169164826814	0	0.0352583188054096	0	0.0105385692001337	0.0242830295459323	0.0308861218600704	0
"AL390719.2"	0	0.00253360870850157	0	0	0	0	0	0.01878391240264	0
"SDF4"	1.60954492844961	0.729795133685706	1.23442602111877	0.447788004912543	1.12176264609331	0.385567312486878	0.44572489999013	0.968154654014046	0.591785938993003
"B3GALT6"	0.431971916049326	0.186301552369827	0.289818904351408	0.115571168035308	0.229788679502714	0.0918334506936787	0.121889486519597	0.251399273558329	0.0382058531367005
"C1QTNF12"	0.045938427871401	0.0389376460001971	0.00830791592245708	0.0323979909349753	0.0333733813910025	0.020825632878969	0.0576877474843796	0.0639151151041861	0
"UBE2J2"	0.441793759172854	0.358341632605285	0.630162647621079	0.258357675169509	0.590465725726093	0.304008860430225	0.266306734231999	0.311174739602673	0.195654367347655
"SCNN1D"	0	0.018361065756129	0.0200481154771451	0.0169834300692363	0	0.0060787428187252	0.00730309220226936	0.00635214648557967	0
"ACAP3"	0.183827075911788	0.600584647256984	0.176705622666023	0.68749080763885	0.0871107927558865	0.414655937571519	0.890306194941685	1.25782766919497	0.0758782912208817
"PUSL1"	0.315806299810722	0.130174568085576	0.496395597805748	0.118926520345762	0.570574137998114	0.225004689182361	0.0768014312603707	0.0881517347435714	0
"INTS11"	0.700207355196977	0.583594653768097	0.66473795860603	0.61988802144896	1.03837623188515	0.674967074818877	0.68172952322809	0.594792734407439	1.44782927280965
"CPTP"	0.0810110044649013	0.0312610514409308	0.146412401694233	0.0803764798385449	0.25009260327064	0.0313706340204359	0.0190515592580456	0.0418585215537154	0.0740685875120362
